number,x_m,y_m,distance_from_center_m,is_reference_center
1,-2.334,2.905,0.849,
2,-2.134,2.905,0.721,
3,-1.934,2.905,0.632,
4,-1.734,2.905,0.600,
5,-1.534,2.905,0.632,
6,-1.334,2.905,0.721,
7,-1.134,2.905,0.849,
8,-0.934,2.905,1.000,
9,-0.734,2.905,1.166,
10,-0.534,2.905,1.342,
11,-0.334,2.905,1.523,
12,-0.134,2.905,1.709,
13,0.066,2.905,1.897,
14,0.266,2.905,2.088,
15,0.466,2.905,2.280,
16,0.666,2.905,2.474,
17,0.866,2.905,2.668,
18,1.066,2.905,2.864,
19,1.266,2.905,3.059,
20,1.466,2.905,3.256,
21,1.666,2.905,3.453,
22,1.866,2.905,3.650,
23,2.066,2.905,3.847,
24,2.266,2.905,4.045,
25,2.466,2.905,4.243,
26,-2.334,2.705,0.721,
27,-2.134,2.705,0.566,
28,-1.934,2.705,0.447,
29,-1.734,2.705,0.400,
30,-1.534,2.705,0.447,
31,-1.334,2.705,0.566,
32,-1.134,2.705,0.721,
33,-0.934,2.705,0.894,
34,-0.734,2.705,1.077,
35,-0.534,2.705,1.265,
36,-0.334,2.705,1.456,
37,-0.134,2.705,1.649,
38,0.066,2.705,1.844,
39,0.266,2.705,2.040,
40,0.466,2.705,2.236,
41,0.666,2.705,2.433,
42,0.866,2.705,2.631,
43,1.066,2.705,2.828,
44,1.266,2.705,3.027,
45,1.466,2.705,3.225,
46,1.666,2.705,3.423,
47,1.866,2.705,3.622,
48,2.066,2.705,3.821,
49,2.266,2.705,4.020,
50,2.466,2.705,4.219,
51,-2.334,2.505,0.632,
52,-2.134,2.505,0.447,
53,-1.934,2.505,0.283,
54,-1.734,2.505,0.200,
55,-1.534,2.505,0.283,
56,-1.334,2.505,0.447,
57,-1.134,2.505,0.632,
58,-0.934,2.505,0.825,
59,-0.734,2.505,1.020,
60,-0.534,2.505,1.217,
61,0.666,2.505,2.408,
62,0.866,2.505,2.608,
63,1.066,2.505,2.807,
64,1.266,2.505,3.007,
65,1.466,2.505,3.206,
66,2.066,2.505,3.805,
67,2.266,2.505,4.005,
68,2.466,2.505,4.205,
69,-2.334,2.305,0.600,
70,-2.134,2.305,0.400,
71,-1.934,2.305,0.200,
72,-1.734,2.305,0.000,yes
73,-1.534,2.305,0.200,
74,-1.334,2.305,0.400,
75,-1.134,2.305,0.600,
76,-0.934,2.305,0.800,
77,-0.734,2.305,1.000,
78,-0.534,2.305,1.200,
79,-0.334,2.305,1.400,
80,-0.134,2.305,1.600,
81,0.066,2.305,1.800,
82,0.266,2.305,2.000,
83,0.466,2.305,2.200,
84,0.666,2.305,2.400,
85,0.866,2.305,2.600,
86,1.066,2.305,2.800,
87,1.266,2.305,3.000,
88,1.466,2.305,3.200,
89,1.666,2.305,3.400,
90,1.866,2.305,3.600,
91,2.066,2.305,3.800,
92,2.266,2.305,4.000,
93,2.466,2.305,4.200,
94,-2.334,2.105,0.632,
95,-2.134,2.105,0.447,
96,-1.934,2.105,0.283,
97,-1.734,2.105,0.200,
98,-1.534,2.105,0.283,
99,-1.334,2.105,0.447,
100,-1.134,2.105,0.632,
101,-0.934,2.105,0.825,
102,-0.734,2.105,1.020,
103,-0.534,2.105,1.217,
104,-0.334,2.105,1.414,
105,-0.134,2.105,1.612,
106,0.066,2.105,1.811,
107,0.266,2.105,2.010,
108,0.466,2.105,2.209,
109,0.666,2.105,2.408,
110,0.866,2.105,2.608,
111,1.066,2.105,2.807,
112,1.266,2.105,3.007,
113,1.466,2.105,3.206,
114,1.666,2.105,3.406,
115,1.866,2.105,3.606,
116,2.066,2.105,3.805,
117,2.266,2.105,4.005,
118,2.466,2.105,4.205,
119,-2.334,1.905,0.721,
120,-2.134,1.905,0.566,
121,-1.934,1.905,0.447,
122,-1.734,1.905,0.400,
123,-1.534,1.905,0.447,
124,-1.334,1.905,0.566,
125,-1.134,1.905,0.721,
126,-0.934,1.905,0.894,
127,-0.734,1.905,1.077,
128,-0.534,1.905,1.265,
129,-0.334,1.905,1.456,
130,-0.134,1.905,1.649,
131,0.066,1.905,1.844,
132,0.266,1.905,2.040,
133,0.466,1.905,2.236,
134,0.666,1.905,2.433,
135,0.866,1.905,2.631,
136,1.066,1.905,2.828,
137,1.266,1.905,3.027,
138,1.466,1.905,3.225,
139,1.666,1.905,3.423,
140,1.866,1.905,3.622,
141,2.066,1.905,3.821,
142,2.266,1.905,4.020,
143,2.466,1.905,4.219,
144,-2.334,1.705,0.849,
145,-2.134,1.705,0.721,
146,-1.934,1.705,0.632,
147,-1.734,1.705,0.600,
148,-1.534,1.705,0.632,
149,-1.334,1.705,0.721,
150,-1.134,1.705,0.849,
151,-0.934,1.705,1.000,
152,-0.734,1.705,1.166,
153,-0.534,1.705,1.342,
154,-0.334,1.705,1.523,
155,-0.134,1.705,1.709,
156,0.066,1.705,1.897,
157,0.266,1.705,2.088,
158,0.466,1.705,2.280,
159,0.666,1.705,2.474,
160,0.866,1.705,2.668,
161,1.066,1.705,2.864,
162,1.266,1.705,3.059,
163,1.466,1.705,3.256,
164,1.666,1.705,3.453,
165,1.866,1.705,3.650,
166,2.066,1.705,3.847,
167,2.266,1.705,4.045,
168,2.466,1.705,4.243,
169,-1.334,1.505,0.894,
170,-1.134,1.505,1.000,
171,-2.334,1.305,1.166,
172,-2.134,1.305,1.077,
173,-1.934,1.305,1.020,
174,-1.734,1.305,1.000,
175,-1.534,1.305,1.020,
176,-1.334,1.305,1.077,
177,-1.134,1.305,1.166,
178,-0.934,1.305,1.281,
179,-0.734,1.305,1.414,
180,-0.534,1.305,1.562,
181,-0.334,1.305,1.720,
182,-0.134,1.305,1.887,
183,0.066,1.305,2.059,
184,0.266,1.305,2.236,
185,0.466,1.305,2.417,
186,0.666,1.305,2.600,
187,0.866,1.305,2.786,
188,1.066,1.305,2.973,
189,1.266,1.305,3.162,
190,1.466,1.305,3.353,
191,1.666,1.305,3.544,
192,1.866,1.305,3.736,
193,2.066,1.305,3.929,
194,2.266,1.305,4.123,
195,2.466,1.305,4.317,
196,-2.334,1.105,1.342,
197,-2.134,1.105,1.265,
198,-1.934,1.105,1.217,
199,-1.734,1.105,1.200,
200,-1.534,1.105,1.217,
201,-1.334,1.105,1.265,
202,-1.134,1.105,1.342,
203,-0.934,1.105,1.442,
204,-0.734,1.105,1.562,
205,-0.534,1.105,1.697,
206,-0.334,1.105,1.844,
207,-0.134,1.105,2.000,
208,0.066,1.105,2.163,
209,0.266,1.105,2.332,
210,0.466,1.105,2.506,
211,0.666,1.105,2.683,
212,0.866,1.105,2.864,
213,1.066,1.105,3.046,
214,1.266,1.105,3.231,
215,1.466,1.105,3.418,
216,1.666,1.105,3.606,
217,1.866,1.105,3.795,
218,2.066,1.105,3.985,
219,2.266,1.105,4.176,
220,2.466,1.105,4.368,
221,-2.334,0.905,1.523,
222,-2.134,0.905,1.456,
223,-1.934,0.905,1.414,
224,-1.734,0.905,1.400,
225,-1.534,0.905,1.414,
226,-1.334,0.905,1.456,
227,-1.134,0.905,1.523,
228,-0.934,0.905,1.612,
229,-0.734,0.905,1.720,
230,-0.534,0.905,1.844,
231,-0.334,0.905,1.980,
232,-0.134,0.905,2.126,
233,0.066,0.905,2.280,
234,0.266,0.905,2.441,
235,0.466,0.905,2.608,
236,0.666,0.905,2.778,
237,0.866,0.905,2.953,
238,1.066,0.905,3.130,
239,1.266,0.905,3.311,
240,1.466,0.905,3.493,
241,1.666,0.905,3.677,
242,1.866,0.905,3.863,
243,2.066,0.905,4.050,
244,2.266,0.905,4.238,
245,2.466,0.905,4.427,
246,-2.334,0.705,1.709,
247,-2.134,0.705,1.649,
248,-1.934,0.705,1.612,
249,-1.734,0.705,1.600,
250,-1.534,0.705,1.612,
251,-1.334,0.705,1.649,
252,-1.134,0.705,1.709,
253,-0.934,0.705,1.789,
254,-0.734,0.705,1.887,
255,-0.534,0.705,2.000,
256,-0.334,0.705,2.126,
257,-0.134,0.705,2.263,
258,0.066,0.705,2.408,
259,0.266,0.705,2.561,
260,0.466,0.705,2.720,
261,0.666,0.705,2.884,
262,0.866,0.705,3.053,
263,1.066,0.705,3.225,
264,1.266,0.705,3.400,
265,1.466,0.705,3.578,
266,1.666,0.705,3.758,
267,1.866,0.705,3.940,
268,2.066,0.705,4.123,
269,2.266,0.705,4.308,
270,2.466,0.705,4.494,
271,-2.334,0.505,1.897,
272,-2.134,0.505,1.844,
273,-1.934,0.505,1.811,
274,-1.734,0.505,1.800,
275,-1.534,0.505,1.811,
276,-1.334,0.505,1.844,
277,-1.134,0.505,1.897,
278,-0.934,0.505,1.970,
279,-0.734,0.505,2.059,
280,-0.534,0.505,2.163,
281,-0.334,0.505,2.280,
282,-0.134,0.505,2.408,
283,0.066,0.505,2.546,
284,0.266,0.505,2.691,
285,0.466,0.505,2.843,
286,0.666,0.505,3.000,
287,0.866,0.505,3.162,
288,1.066,0.505,3.329,
289,1.266,0.505,3.499,
290,1.466,0.505,3.672,
291,1.666,0.505,3.847,
292,1.866,0.505,4.025,
293,2.066,0.505,4.205,
294,2.266,0.505,4.386,
295,2.466,0.505,4.569,
296,-2.334,0.305,2.088,
297,-2.134,0.305,2.040,
298,-1.934,0.305,2.010,
299,-1.734,0.305,2.000,
300,-1.534,0.305,2.010,
301,-1.334,0.305,2.040,
302,-1.134,0.305,2.088,
303,-0.934,0.305,2.154,
304,-0.734,0.305,2.236,
305,-0.534,0.305,2.332,
306,-0.334,0.305,2.441,
307,-0.134,0.305,2.561,
308,0.066,0.305,2.691,
309,0.266,0.305,2.828,
310,0.466,0.305,2.973,
311,0.666,0.305,3.124,
312,0.866,0.305,3.280,
313,1.066,0.305,3.441,
314,1.266,0.305,3.606,
315,1.466,0.305,3.774,
316,1.666,0.305,3.945,
317,1.866,0.305,4.118,
318,2.066,0.305,4.294,
319,2.266,0.305,4.472,
320,2.466,0.305,4.652,
321,-2.334,0.105,2.280,
322,-2.134,0.105,2.236,
323,-1.934,0.105,2.209,
324,-1.734,0.105,2.200,
325,-1.534,0.105,2.209,
326,-1.334,0.105,2.236,
327,-1.134,0.105,2.280,
328,-0.934,0.105,2.341,
329,-0.734,0.105,2.417,
330,-0.534,0.105,2.506,
331,-0.334,0.105,2.608,
332,-0.134,0.105,2.720,
333,0.066,0.105,2.843,
334,0.266,0.105,2.973,
335,0.466,0.105,3.111,
336,0.666,0.105,3.256,
337,0.866,0.105,3.406,
338,1.066,0.105,3.561,
339,1.266,0.105,3.720,
340,1.466,0.105,3.883,
341,1.666,0.105,4.050,
342,1.866,0.105,4.219,
343,2.066,0.105,4.391,
344,2.266,0.105,4.565,
345,2.466,0.105,4.741,
346,-2.334,-0.095,2.474,
347,-2.134,-0.095,2.433,
348,-1.934,-0.095,2.408,
349,-1.734,-0.095,2.400,
350,-1.534,-0.095,2.408,
351,-1.334,-0.095,2.433,
352,-1.134,-0.095,2.474,
353,-0.934,-0.095,2.530,
354,-0.734,-0.095,2.600,
355,-0.534,-0.095,2.683,
356,-0.334,-0.095,2.778,
357,-0.134,-0.095,2.884,
358,0.066,-0.095,3.000,
359,0.266,-0.095,3.124,
360,0.466,-0.095,3.256,
361,0.666,-0.095,3.394,
362,0.866,-0.095,3.538,
363,1.066,-0.095,3.688,
364,1.266,-0.095,3.842,
365,1.466,-0.095,4.000,
366,1.666,-0.095,4.162,
367,1.866,-0.095,4.327,
368,2.066,-0.095,4.494,
369,2.266,-0.095,4.665,
370,2.466,-0.095,4.837,
371,-2.334,-0.295,2.668,
372,-2.134,-0.295,2.631,
373,-1.934,-0.295,2.608,
374,-1.734,-0.295,2.600,
375,-1.534,-0.295,2.608,
376,-1.334,-0.295,2.631,
377,-1.134,-0.295,2.668,
378,-0.934,-0.295,2.720,
379,-0.734,-0.295,2.786,
380,-0.534,-0.295,2.864,
381,-0.334,-0.295,2.953,
382,-0.134,-0.295,3.053,
383,0.066,-0.295,3.162,
384,0.266,-0.295,3.280,
385,0.466,-0.295,3.406,
386,0.666,-0.295,3.538,
387,0.866,-0.295,3.677,
388,1.066,-0.295,3.821,
389,1.266,-0.295,3.970,
390,1.466,-0.295,4.123,
391,1.666,-0.295,4.280,
392,1.866,-0.295,4.441,
393,2.066,-0.295,4.604,
394,2.266,-0.295,4.771,
395,2.466,-0.295,4.940,
396,-0.134,-0.495,3.225,
397,0.066,-0.495,3.329,
398,0.266,-0.495,3.441,
399,-2.334,-0.695,3.059,
400,-2.134,-0.695,3.027,
401,-1.934,-0.695,3.007,
402,-1.734,-0.695,3.000,
403,-1.534,-0.695,3.007,
404,-1.334,-0.695,3.027,
