wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
0.0023,161.1080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,5.943231,1.279851,1.700009,0.000192,-5.433187,0.020000,0.249159,0.265740,0.279653,0.277486
0.0223,161.1280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,5.963232,1.279849,1.700010,0.000192,-5.413187,0.020000,0.246526,0.262874,0.277283,0.275113
0.0426,161.1480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,5.983233,1.279848,1.700011,0.000192,-5.393187,0.020000,0.245201,0.261443,0.276100,0.273931
0.0632,161.1680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.003234,1.279846,1.700012,0.000192,-5.373187,0.020000,0.241192,0.257164,0.272562,0.270398
0.0817,161.1880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.003234,1.279846,1.700012,0.000192,-5.373187,0.020000,0.238492,0.254324,0.270212,0.268056
0.1012,161.2080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.023235,1.279844,1.700012,0.000192,-5.353186,0.020000,0.237135,0.252909,0.269039,0.266889
0.1215,161.2280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.043236,1.279842,1.700013,0.000192,-5.333186,0.020000,0.234407,0.250087,0.266700,0.264564
0.1416,161.2480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.063237,1.279840,1.700014,0.000192,-5.313186,0.020000,0.230280,0.245882,0.263207,0.261099
0.1615,161.2680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.103239,1.279836,1.700016,0.000193,-5.283186,0.020000,0.228896,0.244488,0.261770,0.259685
0.1820,161.2880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.123241,1.279834,1.700017,0.000193,-5.283186,0.020000,0.224721,0.240334,0.257474,0.255460
0.2018,161.3080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.143242,1.279832,1.700018,0.000193,-5.283186,0.020000,0.223322,0.238959,0.256047,0.254058
0.2211,161.3280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.143242,1.279832,1.700018,0.000193,-5.283186,0.020000,0.220513,0.236225,0.253203,0.251264
0.2417,161.3480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.163243,1.279830,1.700019,0.000193,-5.283186,0.020000,0.217692,0.233514,0.250371,0.248486
0.2625,161.3680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.203245,1.279826,1.700021,0.000192,-5.283186,0.020000,0.213452,0.229499,0.246157,0.244357
0.2823,161.3880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.203245,1.279826,1.700021,0.000192,-5.283186,0.020000,0.210700,0.226882,0.243403,0.241660
0.3007,161.4080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.223246,1.279526,1.699902,0.000192,-5.283186,0.020000,0.209355,0.225592,0.242044,0.240330
0.3210,161.4280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000259,6.243247,1.278637,1.699549,0.000192,-5.283185,0.020000,0.205430,0.221785,0.238031,0.236401
0.3416,161.4480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000258,6.263248,1.277177,1.698967,0.000192,-5.283185,0.020000,0.202901,0.219295,0.235405,0.233831
0.3611,161.4680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000258,6.283299,1.275178,1.698169,0.000192,-5.283185,0.020000,0.200416,0.216820,0.232795,0.231276
0.3816,161.4880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000256,6.323252,1.269635,1.695954,0.000190,-5.283185,0.020000,0.197988,0.214370,0.230215,0.228749
0.4012,161.5080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000254,6.343253,1.266139,1.694557,0.000190,-5.283185,0.020000,0.195605,0.211936,0.227652,0.226239
0.4226,161.5280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000253,6.363254,1.262180,1.692975,0.000189,-5.283185,0.020000,0.193261,0.209513,0.225103,0.223743
0.4479,161.5480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000252,6.383255,1.257767,1.691210,0.000188,-5.283185,0.020000,0.190953,0.207095,0.222564,0.221255
0.4623,161.5680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000252,6.383255,1.257767,1.691210,0.000188,-5.283185,0.020000,0.189812,0.205888,0.221298,0.220014
0.4863,161.5880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000248,6.423258,1.247621,1.687154,0.000186,-5.283185,0.020000,0.187550,0.203472,0.218768,0.217534
0.5028,161.6080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000246,6.443259,1.241909,1.684869,0.000185,-5.283185,0.020000,0.184205,0.199843,0.214976,0.213816
0.5259,161.6280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000246,6.443259,1.241909,1.684869,0.000185,-5.283185,0.020000,0.182001,0.197414,0.212447,0.211334
0.5454,161.6480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000244,6.463261,1.235783,1.682420,0.000184,-5.283185,0.020000,0.180906,0.196196,0.211180,0.210091
0.5699,161.6680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000242,6.483262,1.229256,1.679809,0.000183,-5.283185,0.020000,0.178726,0.193752,0.208643,0.207599
0.5907,161.6880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000237,6.523264,1.215034,1.674120,0.000180,-5.283184,0.020000,0.175480,0.190059,0.204823,0.203846
0.6072,161.7080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000237,6.523264,1.215034,1.674120,0.000180,-5.283184,0.020000,0.174402,0.188820,0.203545,0.202590
0.6270,161.7280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000231,6.563267,1.199326,1.667837,0.000177,-5.283184,0.020000,0.171178,0.185077,0.199693,0.198802
0.6471,161.7480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000229,6.583268,1.190940,1.664482,0.000175,-5.283184,0.020000,0.169033,0.182557,0.197110,0.196260
0.6670,161.7680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000229,6.583268,1.190940,1.664482,0.000175,-5.283184,0.020000,0.166888,0.180017,0.194512,0.193702
0.6873,161.7880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000223,6.623270,1.173155,1.657366,0.000172,-5.283184,0.020000,0.164742,0.177456,0.191898,0.191129
0.7066,161.8080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000223,6.623270,1.173155,1.657366,0.000172,-5.283184,0.020000,0.163668,0.176167,0.190586,0.189837
