wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
0.0070,206.5080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.499849,1.279826,1.700035,0.000137,1.000001,0.020000,0.270906,0.294004,0.313026,0.307864
0.0467,206.5280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.499849,1.279826,1.700035,0.000137,1.000000,0.020000,0.270906,0.294003,0.313024,0.307863
0.0887,206.5480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.499849,1.279826,1.700035,0.000137,1.000000,0.020000,0.270906,0.294003,0.313024,0.307862
0.1258,206.5680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.499849,1.279826,1.700035,0.000137,1.000000,0.020000,0.270906,0.294003,0.313023,0.307861
0.1721,206.5880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.499849,1.279826,1.700035,0.000137,1.000000,0.020000,0.270907,0.294002,0.313022,0.307859
0.2087,206.6080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.499849,1.279826,1.700035,0.000137,1.000000,0.020000,0.270907,0.294002,0.313022,0.307858
0.2461,206.6280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.499849,1.279826,1.700035,0.000137,1.000000,0.020000,0.270907,0.294001,0.313021,0.307857
0.2897,206.6480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.499849,1.279826,1.700035,0.000137,1.000000,0.020000,0.270901,0.293958,0.312978,0.307814
0.3269,206.6680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.499253,1.279528,1.699916,0.000137,1.000000,0.020000,0.270883,0.293832,0.312853,0.307688
0.3654,206.6880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.497485,1.278644,1.699562,0.000137,1.000000,0.020000,0.270852,0.293626,0.312648,0.307482
0.4107,206.7080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.494600,1.277201,1.698985,0.000137,1.000000,0.020000,0.270809,0.293342,0.312365,0.307198
0.4620,206.7280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.490640,1.275222,1.698193,0.000137,1.000000,0.020000,0.270782,0.293171,0.312196,0.307027
0.4899,206.7480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.485631,1.272717,1.697191,0.000136,1.000000,0.020000,0.270677,0.292543,0.311572,0.306399
0.5247,206.7680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.479596,1.269700,1.695984,0.000136,1.000000,0.020000,0.270634,0.292295,0.311325,0.306152
0.5651,206.7880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.472557,1.266180,1.694576,0.000136,1.000000,0.020000,0.270474,0.291436,0.310472,0.305293
0.6053,206.8080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.464535,1.262169,1.692971,0.000135,1.000000,0.020000,0.270410,0.291111,0.310149,0.304969
0.6449,206.8280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.455553,1.257679,1.691174,0.000134,1.000000,0.020000,0.270263,0.290403,0.309446,0.304261
0.6852,206.8480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.445634,1.252719,1.689190,0.000134,1.000000,0.020000,0.270088,0.289616,0.308664,0.303476
0.7285,206.8680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.434799,1.247302,1.687023,0.000133,1.000000,0.020000,0.269769,0.288286,0.307344,0.302148
0.7647,206.8880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.423071,1.241438,1.684677,0.000132,1.000000,0.020000,0.269512,0.287300,0.306365,0.301163
0.8059,206.9080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.410472,1.235138,1.682157,0.000132,1.000000,0.020000,0.269369,0.286776,0.305844,0.300640
0.8453,206.9280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.397024,1.228415,1.679467,0.000131,1.000000,0.020000,0.268876,0.285080,0.304161,0.298947
0.8872,206.9480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.382748,1.221278,1.676611,0.000130,1.000000,0.020000,0.268490,0.283844,0.302934,0.297714
0.9240,206.9680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.367669,1.213739,1.673595,0.000129,1.000000,0.020000,0.268278,0.283194,0.302289,0.297065
0.9691,206.9880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.351808,1.205809,1.670422,0.000128,1.000000,0.020000,0.267559,0.281116,0.300226,0.294990
1.0088,207.0080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.335187,1.197499,1.667097,0.000127,1.000000,0.020000,0.267006,0.279620,0.298741,0.293497
1.0480,207.0280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.317828,1.188820,1.663625,0.000125,1.000000,0.020000,0.266390,0.278035,0.297168,0.291915
1.0861,207.0480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.299753,1.179783,1.660009,0.000124,1.000000,0.020000,0.266056,0.277209,0.296348,0.291090
1.1251,207.0680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.280986,1.170400,1.656255,0.000123,1.000001,0.020000,0.265335,0.275487,0.294640,0.289372
1.1656,207.0880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.261547,1.160681,1.652367,0.000122,1.000001,0.020000,0.264130,0.272752,0.291926,0.286642
1.2096,207.1080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.241583,1.150639,1.648348,0.000120,1.000001,0.020000,0.263725,0.271834,0.291015,0.285726
1.2476,207.1280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.221582,1.140282,1.644204,0.000119,1.000001,0.020000,0.262530,0.269098,0.288299,0.282992
1.2859,207.1480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.201582,1.129624,1.639940,0.000117,1.000001,0.020000,0.262137,0.268191,0.287398,0.282086
1.3264,207.1680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.181582,1.118675,1.635558,0.000116,1.000001,0.020000,0.261356,0.266385,0.285604,0.280281
1.3687,207.1880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.161581,1.107446,1.631065,0.000114,1.000001,0.020000,0.260196,0.263692,0.282929,0.277587
1.4100,207.2080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.141581,1.095948,1.626464,0.000113,1.000001,0.020000,0.259425,0.261906,0.281154,0.275800
1.4483,207.2280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.121581,1.084192,1.621760,0.000111,1.000001,0.020000,0.258654,0.260127,0.279385,0.274018
1.4903,207.2480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.101580,1.072190,1.616958,0.000109,1.000001,0.020000,0.257880,0.258355,0.277621,0.272242
