wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
0.0137,145.2880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000351,-0.499694,1.279747,1.700073,-0.000385,1.000016,0.020000,0.271172,0.292252,0.310561,0.306800
0.0323,145.3080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000616,-0.499694,1.279748,1.700072,-0.000184,1.000009,0.020000,0.271174,0.292253,0.310568,0.306796
0.0543,145.3280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000323,-0.499694,1.279748,1.700072,0.000183,1.000009,0.020000,0.271175,0.292254,0.310567,0.306800
0.0722,145.3480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000323,-0.499694,1.279748,1.700072,0.000183,1.000009,0.020000,0.271177,0.292256,0.310573,0.306797
0.0921,145.3680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000328,-0.499694,1.279748,1.700072,-0.000189,1.000009,0.020000,0.271179,0.292257,0.310569,0.306802
0.1143,145.3880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000652,-0.499694,1.279748,1.700072,-0.000185,1.000009,0.020000,0.271180,0.292258,0.310576,0.306799
0.1351,145.4080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000331,-0.499694,1.279748,1.700072,-0.000390,1.000009,0.020000,0.271181,0.292259,0.310573,0.306804
0.1538,145.4280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000331,-0.499694,1.279748,1.700072,-0.000390,1.000009,0.020000,0.271182,0.292259,0.310578,0.306800
0.1743,145.4480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000334,-0.499693,1.279748,1.700072,-0.000187,1.000009,0.020000,0.271184,0.292260,0.310574,0.306805
0.1996,145.4680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000334,-0.499693,1.279748,1.700072,-0.000187,1.000009,0.020000,0.271184,0.292260,0.310590,0.306790
0.2199,145.4880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000649,-0.499693,1.279748,1.700072,0.000187,1.000009,0.020000,0.271185,0.292262,0.310576,0.306806
0.2411,145.5080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000647,-0.499693,1.279748,1.700072,-0.000190,1.000009,0.020000,0.271186,0.292262,0.310582,0.306801
0.2613,145.5280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000337,-0.499693,1.279749,1.700072,0.000187,1.000009,0.020000,0.271186,0.292252,0.310568,0.306795
0.3026,145.5680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000338,-0.497326,1.278565,1.699599,-0.000191,1.000009,0.020000,0.271151,0.292006,0.310322,0.306550
0.3027,145.5680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000338,-0.497326,1.278565,1.699599,-0.000191,1.000009,0.020000,0.271151,0.292006,0.310322,0.306550
