wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
0.0017,179.1380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-6.943056,-5.163269,1.700023,-0.000113,0.999999,0.020000,0.323543,0.346086,0.362254,0.359257
0.0252,179.1580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-6.963056,-5.183269,1.700022,-0.000113,0.999999,0.020000,0.326302,0.349344,0.365362,0.362381
0.0492,179.1780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-6.983056,-5.203269,1.700020,-0.000113,0.999999,0.020000,0.331739,0.355881,0.371589,0.368643
0.0615,179.1980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.003056,-5.223268,1.700019,-0.000113,0.999999,0.020000,0.337063,0.362440,0.377823,0.374916
0.0819,179.2180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.023056,-5.243268,1.700017,-0.000113,0.999999,0.020000,0.342261,0.369011,0.384055,0.381190
0.1147,179.2380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.043056,-5.263268,1.700016,-0.000113,0.999999,0.020000,0.347325,0.375586,0.390277,0.387459
0.1334,179.2580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.063056,-5.283267,1.700014,-0.000113,0.999999,0.020000,0.352243,0.382155,0.396482,0.393714
0.1532,179.2780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.083056,-5.303266,1.700013,-0.000113,0.999999,0.020000,0.359325,0.391980,0.405742,0.403056
0.1720,179.2980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.103056,-5.323266,1.700012,-0.000113,0.999999,0.020000,0.361603,0.395244,0.408813,0.406155
0.1919,179.3180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.123056,-5.343265,1.700011,-0.000113,0.999999,0.020000,0.366025,0.401750,0.414925,0.412327
0.2146,179.3380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.143057,-5.363265,1.700009,-0.000113,0.999999,0.020000,0.370264,0.408220,0.420993,0.418457
0.2323,179.3580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.163057,-5.383264,1.700008,-0.000113,0.999999,0.020000,0.374309,0.414647,0.427011,0.424540
0.2539,179.3780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.183057,-5.403263,1.700007,-0.000113,0.999999,0.020000,0.379996,0.424193,0.435931,0.433561
0.2736,179.3980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.203057,-5.423263,1.700006,-0.000114,0.999999,0.020000,0.381786,0.427347,0.438874,0.436538
0.2948,179.4180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.223057,-5.443262,1.699975,-0.000114,0.999999,0.020000,0.386839,0.436727,0.447609,0.445381
0.3141,179.4380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.243057,-5.463261,1.699885,-0.000114,0.999999,0.020000,0.388414,0.439824,0.450487,0.448296
0.3354,179.4580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.263057,-5.483260,1.699736,-0.000114,0.999999,0.020000,0.391393,0.445967,0.456190,0.454075
0.3567,179.4780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.283057,-5.503260,1.699531,-0.000114,0.999999,0.020000,0.395422,0.455048,0.464602,0.462604
0.3768,179.4980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.303058,-5.523259,1.699269,-0.000114,0.999999,0.020000,0.397804,0.461006,0.470109,0.468191
0.3957,179.5180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.323058,-5.543258,1.698953,-0.000114,0.999999,0.020000,0.398902,0.463955,0.472830,0.470952
0.4232,179.5380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.343058,-5.563258,1.698583,-0.000114,0.999999,0.020000,0.401809,0.472670,0.480858,0.479105
0.4365,179.5580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.363058,-5.583257,1.698160,-0.000114,0.999999,0.020000,0.402647,0.475529,0.483488,0.481776
0.4567,179.5780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.383058,-5.603256,1.697684,-0.000114,0.999999,0.020000,0.404123,0.481178,0.488673,0.487047
0.4760,179.5980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.403059,-5.623256,1.697157,-0.000114,0.999999,0.020000,0.405326,0.486727,0.493757,0.492218
0.5032,179.6180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.423059,-5.643255,1.696578,-0.000114,0.999999,0.020000,0.406610,0.494858,0.501186,0.499779
0.5241,179.6380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.443059,-5.663255,1.695949,-0.000114,0.999999,0.020000,0.407110,0.500144,0.506001,0.504684
0.5480,179.6580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,-7.463060,-5.683254,1.695270,-0.000114,0.999999,0.020000,0.407321,0.505316,0.510702,0.509476
0.5698,179.6780,Opening gripper and moving camera/gripper to the visually aligned cube,0.000090,-7.483060,-5.703254,1.694541,-0.000114,0.999999,0.020000,0.407317,0.507859,0.513012,0.511826
0.5947,179.6980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000113,-7.503061,-5.723253,1.693762,-0.000114,0.999999,0.020000,0.407088,0.512855,0.517533,0.516443
