wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
0.0133,144.3780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,5.963312,1.279824,1.700039,-0.000116,1.000001,0.020000,0.245790,0.262694,0.281371,0.277036
0.0333,144.3980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,5.983312,1.279824,1.700039,-0.000116,1.000001,0.020000,0.243129,0.259838,0.278484,0.274164
0.0485,144.4180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.003312,1.279824,1.700039,-0.000116,1.000001,0.020000,0.240445,0.256992,0.275599,0.271294
0.0677,144.4380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.023313,1.279825,1.700040,-0.000116,1.000001,0.020000,0.239096,0.255573,0.274158,0.269862
0.0893,144.4580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,6.043313,1.279825,1.700040,-0.000116,1.000001,0.020000,0.235018,0.251333,0.269841,0.265572
0.1086,144.4780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,6.063313,1.279826,1.700040,-0.000116,1.000001,0.020000,0.232277,0.248525,0.266969,0.262721
0.1277,144.4980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,6.083313,1.279826,1.700040,-0.000116,1.000001,0.020000,0.230899,0.247126,0.265536,0.261299
0.1531,144.5180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,6.103314,1.279827,1.700040,-0.000116,1.000001,0.020000,0.226743,0.242956,0.261249,0.257047
0.1681,144.5380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,6.123314,1.279827,1.700040,-0.000116,1.000001,0.020000,0.223952,0.240199,0.258404,0.254227
0.1888,144.5580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000094,6.143314,1.279828,1.700040,-0.000116,1.000001,0.020000,0.221148,0.237464,0.255569,0.251421
0.2091,144.5780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.163314,1.279829,1.700040,-0.000116,1.000001,0.020000,0.218331,0.234751,0.252748,0.248629
0.2281,144.5980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.183314,1.279830,1.700040,-0.000116,1.000001,0.020000,0.216918,0.233403,0.251343,0.247239
0.2497,144.6180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.203314,1.279831,1.700040,-0.000116,1.000001,0.020000,0.214084,0.230728,0.248544,0.244473
0.2686,144.6380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.223314,1.279832,1.700040,-0.000116,1.000001,0.020000,0.209862,0.226781,0.244396,0.240376
0.2892,144.6580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.243314,1.279536,1.699921,-0.000116,1.000001,0.020000,0.208493,0.225491,0.243038,0.239035
0.3089,144.6780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.263314,1.278651,1.699566,-0.000116,1.000001,0.020000,0.205814,0.222944,0.240356,0.236386
0.3293,144.6980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.283336,1.277195,1.698982,-0.000116,1.000001,0.020000,0.203209,0.220439,0.237717,0.233779
0.3512,144.7180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.303314,1.275200,1.698183,-0.000116,1.000001,0.020000,0.199410,0.216732,0.233810,0.229918
0.3687,144.7380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.323314,1.272681,1.697174,-0.000115,1.000001,0.020000,0.198173,0.215509,0.232522,0.228644
0.3908,144.7580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.343314,1.269664,1.695966,-0.000115,1.000001,0.020000,0.194531,0.211865,0.228687,0.224852
0.4095,144.7780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.363314,1.266173,1.694568,-0.000115,1.000001,0.020000,0.193338,0.210657,0.227416,0.223595
0.4297,144.7980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.383313,1.262217,1.692984,-0.000114,1.000001,0.020000,0.189818,0.207045,0.223623,0.219840
0.4531,144.8180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.403313,1.257809,1.691219,-0.000114,1.000001,0.020000,0.187512,0.204641,0.221105,0.217345
0.4699,144.8380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.423313,1.252956,1.689276,-0.000114,1.000001,0.020000,0.186371,0.203438,0.219847,0.216099
0.4899,144.8580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,6.443313,1.247671,1.687160,-0.000113,1.000001,0.020000,0.184107,0.201032,0.217333,0.213606
0.5151,144.8780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,6.463312,1.241962,1.684874,-0.000113,1.000001,0.020000,0.181867,0.198619,0.214820,0.211111
0.5292,144.8980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,6.483312,1.235841,1.682424,-0.000112,1.000001,0.020000,0.179646,0.196198,0.212303,0.208611
0.5498,144.9180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,6.503312,1.229318,1.679812,-0.000111,1.000001,0.020000,0.177441,0.193765,0.209781,0.206104
0.5691,144.9380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,6.523311,1.222402,1.677044,-0.000111,1.000001,0.020000,0.175250,0.191319,0.207251,0.203588
0.5896,144.9580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,6.543311,1.215104,1.674123,-0.000110,1.000001,0.020000,0.171981,0.187619,0.203439,0.199792
0.6094,144.9780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,6.563310,1.207434,1.671053,-0.000109,1.000001,0.020000,0.170895,0.186377,0.202163,0.198521
0.6289,144.9980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,6.583310,1.199403,1.667838,-0.000109,1.000001,0.020000,0.168725,0.183879,0.199601,0.195966
0.6505,145.0180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000092,6.603309,1.191021,1.664483,-0.000108,1.000001,0.020000,0.166558,0.181359,0.197026,0.193396
0.6696,145.0380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.623309,1.182297,1.660991,-0.000107,1.000001,0.020000,0.163306,0.177540,0.193135,0.189509
0.6893,145.0580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.643308,1.173242,1.657368,-0.000106,1.000001,0.020000,0.161133,0.174966,0.190521,0.186895
0.7098,145.0780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.663308,1.163867,1.653616,-0.000105,1.000001,0.020000,0.160045,0.173670,0.189208,0.185582
0.7289,145.0980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.683307,1.154182,1.649739,-0.000104,1.000001,0.020000,0.157864,0.171060,0.186570,0.182940
0.7513,145.1180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.703307,1.144196,1.645743,-0.000103,1.000001,0.020000,0.154576,0.167101,0.182580,0.178942
0.7690,145.1380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.723306,1.133920,1.641631,-0.000102,1.000000,0.020000,0.153475,0.165769,0.181241,0.177599
0.7932,145.1580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.743306,1.123365,1.637407,-0.000101,1.000000,0.020000,0.150154,0.161738,0.177199,0.173543
0.8095,145.1780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.763305,1.112541,1.633076,-0.000100,1.000000,0.020000,0.147924,0.159020,0.174482,0.170814
0.8314,145.1980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.783305,1.101457,1.628641,-0.000099,1.000000,0.020000,0.146803,0.157653,0.173117,0.169443
0.8521,145.2180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.803304,1.090124,1.624106,-0.000098,1.000000,0.020000,0.144549,0.154900,0.170375,0.166686
0.8707,145.2380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,6.823304,1.078552,1.619476,-0.000097,1.000000,0.020000,0.142279,0.152125,0.167616,0.163910
0.8905,145.2580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,6.843303,1.066752,1.614754,-0.000095,1.000000,0.020000,0.139991,0.149327,0.164840,0.161115
0.9123,145.2780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,6.863303,1.054734,1.609945,-0.000094,1.000000,0.020000,0.136525,0.145090,0.160647,0.156891
0.9307,145.2980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,6.883303,1.042508,1.605054,-0.000093,1.000000,0.020000,0.134189,0.142240,0.157833,0.154054
0.9519,145.3180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,6.903302,1.030084,1.600083,-0.000091,1.000000,0.020000,0.131832,0.139371,0.155004,0.151201
0.9718,145.3380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,6.923302,1.017472,1.595037,-0.000090,1.000000,0.020000,0.130646,0.137929,0.153585,0.149768
0.9919,145.3580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,6.943301,1.004684,1.589920,-0.000088,1.000000,0.020000,0.127054,0.133577,0.149308,0.145450
1.0116,145.3780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,6.963301,0.991728,1.584737,-0.000087,1.000000,0.020000,0.125845,0.132118,0.147876,0.144003
1.0307,145.3980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,6.983301,0.978616,1.579490,-0.000085,1.000000,0.020000,0.122185,0.127718,0.143565,0.139645
1.0516,145.4180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,7.003301,0.965357,1.574186,-0.000084,1.000000,0.020000,0.119715,0.124768,0.140678,0.136725
1.0703,145.4380,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,7.023300,0.951962,1.568826,-0.000082,1.000000,0.020000,0.118471,0.123287,0.139232,0.135261
1.0909,145.4580,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000090,7.043300,0.938441,1.563417,-0.000081,1.000000,0.020000,0.115964,0.120319,0.136332,0.132327
1.1111,145.4780,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,7.063300,0.924804,1.557961,-0.000079,1.000000,0.020000,0.113433,0.117340,0.133426,0.129383
1.1333,145.4980,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,7.083300,0.911062,1.552463,-0.000078,1.000000,0.020000,0.109589,0.112856,0.129057,0.124956
1.1522,145.5180,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000091,7.103299,0.897224,1.546927,-0.000076,1.000000,0.020000,0.108295,0.111358,0.127599,0.123477
